room,floor,x,y,left,right,up,down
839,8,0.08166666667,0.597826087,null,0,null,null
840,8,0.1466666667,0.5869565217,null,0,null,null
838,8,0.1616666667,0.5869565217,null,0,null,null
837,8,0.175,0.5869565217,null,0,null,null
836,8,0.2216666667,0.5869565217,null,0,null,null
835,8,0.1933333333,0.5869565217,null,0,null,null
833,8,0.3033333333,0.5869565217,null,0,null,null
829,8,0.32,0.5869565217,null,0,null,null
826,8,0.365,0.5869565217,null,0,null,null
827,8,0.4133333333,0.597826087,null,null,0,null
817,8,0.5416666667,0.5760869565,null,null,2,null
815,8,0.5416666667,0.5760869565,null,null,2,null
809,8,0.7,0.5934782609,null,null,4,null
807,8,0.7,0.5934782609,null,null,4,null
804,8,0.7516666667,0.5652173913,4,null,null,null
802,8,0.7833333333,0.5652173913,4,null,null,null
801,8,0.7833333333,0.5652173913,4,null,null,null
803,8,0.7833333333,0.5652173913,4,null,null,null
1100,8,0.085,0.5847826087,null,0,null,null
1300,8,0.405,0.5456521739,null,1,null,null
1600,8,0.7283333333,0.5326086957,3,null,null,null
