id,floor,x,y,left,right,up,down
0,4,0.1116666667,0.4456521739,null,2,null,1
1,4,0.1116666667,0.5760869565,null,4,0,null
2,4,0.425,0.4347826087,0,6,null,3
3,4,0.425,0.5108695652,null,5,2,4
4,4,0.42,0.5543478261,1,null,3,null
5,4,0.5666666667,0.4891304348,3,7,null,null
6,4,0.6583333333,0.4347826087,2,null,null,7
7,4,0.6583333333,0.5065217391,5,8,6,null
8,4,0.7083333333,0.5065217391,7,null,null,9
9,4,0.7083333333,0.5434782609,null,null,8,10
10,4,0.7083333333,0.5695652174,null,null,9,null
