room,floor,x,y,left,right,up,down
939,9,0.07333333333,0.547826087,null,0,null,null
940,9,0.09166666667,0.547826087,null,0,null,null
935,9,0.1416666667,0.547826087,null,0,null,null
938,9,0.1866666667,0.55,null,0,null,null
936,9,0.2583333333,0.55,null,0,null,null
931,9,0.2583333333,0.55,null,0,null,null
927,9,0.285,0.547826087,null,0,null,null
926,9,0.3416666667,0.55,null,0,null,null
925,9,0.4033333333,0.5804347826,null,null,0,null
913,9,0.525,0.5652173913,null,null,2,null
911,9,0.5716666667,0.5695652174,null,null,3,null
909,9,0.5716666667,0.5695652174,null,null,3,null
907,9,0.6883333333,0.5782608696,null,null,5,null
903,9,0.6883333333,0.5782608696,null,null,5,null
901,9,0.7383333333,0.5608695652,5,null,null,null
902,9,0.7383333333,0.5608695652,5,null,null,null
1100,9,0.07333333333,0.547826087,null,0,null,null
1300,9,0.39,0.5217391304,null,1,null,null
1600,9,0.7083333333,0.5282608696,4,null,null,null
