room,floor,x,y,left,right,up,down
739,7,0.05166666667,0.5782608696,null,0,null,null
740,7,0.115,0.5652173913,null,0,null,null
738,7,0.1333333333,0.5652173913,null,0,null,null
737,7,0.1466666667,0.5652173913,null,0,null,null
735,7,0.165,0.5652173913,null,0,null,null
736,7,0.24,0.5652173913,null,0,null,null
726,7,0.33,0.5652173913,null,0,null,null
731,7,0.33,0.5652173913,null,0,null,null
729,7,0.3466666667,0.5652173913,null,0,null,null
727,7,0.3833333333,0.5804347826,null,null,0,null
717,7,0.51,0.597826087,null,null,2,null
715,7,0.535,0.597826087,null,null,2,null
709,7,0.6666666667,0.5717391304,null,null,4,null
707,7,0.7,0.5565217391,4,null,null,null
704,7,0.7216666667,0.5565217391,4,null,null,null
705,7,0.7416666667,0.5565217391,4,null,null,null
703,7,0.7583333333,0.5565217391,4,null,null,null
701,7,0.7583333333,0.5565217391,4,null,null,null
702,7,0.7583333333,0.5565217391,4,null,null,null
1100,7,0.05666666667,0.5608695652,null,0,null,null
1300,7,0.3716666667,0.5369565217,null,1,null,null
1600,7,0.68,0.5304347826,3,null,null,null
