room,floor,x,y,left,right,up,down
351,3,0.08,0.4086956522,null,null,null,0
339,3,0.08333333333,0.5652173913,1,4,null,null
337,3,0.1466666667,0.5652173913,1,4,null,null
338,3,0.1333333333,0.5652173913,1,4,null,null
335,3,0.1666666667,0.5652173913,1,4,null,null
336,3,0.1833333333,0.5652173913,1,4,null,null
333,3,0.2733333333,0.5652173913,1,4,null,null
350,3,0.2416666667,0.4086956522,0,2,null,null
329,3,0.285,0.5652173913,1,4,null,null
327,3,0.3916666667,0.5673913043,4,null,null,null
325,3,0.3916666667,0.5673913043,4,null,null,null
315,3,0.5083333333,0.5652173913,null,null,6,null
313,3,0.5416666667,0.5652173913,null,null,6,null
311,3,0.5416666667,0.5543478261,null,null,6,null
371,3,0.53,0.1847826087,null,null,null,5
372,3,0.53,0.1847826087,null,null,null,5
373,3,0.53,0.1847826087,null,null,null,5
380,3,0.575,0.3369565217,null,null,null,5
381,3,0.6383333333,0.3565217391,null,null,null,7
307,3,0.6666666667,0.5543478261,null,null,10,null
305,3,0.7,0.5543478261,10,null,null,null
303,3,0.7483333333,0.5434782609,10,null,null,null
301,3,0.7483333333,0.5434782609,10,null,null,null
302,3,0.7483333333,0.5434782609,10,null,null,null
1100,3,0.07166666667,0.4304347826,null,0,null,null
1200,3,0.07166666667,0.5369565217,null,null,0,1
1300,3,0.33,0.5434782609,1,4,null,null
1500,3,0.575,0.3369565217,null,null,null,5
1600,3,0.6833333333,0.5065217391,9,null,null,null
