room,floor,x,y,left,right,up,down
453,4,0.1116666667,0.4304347826,null,null,null,0
450,4,0.1883333333,0.4347826087,0,2,null,null
451,4,0.2083333333,0.4347826087,0,2,null,null
439,4,0.1116666667,0.5934782609,null,null,1,null
440,4,0.1783333333,0.5695652174,1,4,null,null
437,4,0.1783333333,0.5695652174,1,4,null,null
435,4,0.2033333333,0.5695652174,1,4,null,null
436,4,0.2616666667,0.5760869565,1,4,null,null
433,4,0.2616666667,0.5760869565,1,4,null,null
431,4,0.3633333333,0.5717391304,1,4,null,null
429,4,0.3933333333,0.5760869565,1,4,null,null
427,4,0.4583333333,0.5804347826,4,null,null,null
413,4,0.5416666667,0.5369565217,null,null,5,null
411,4,0.585,0.5347826087,null,null,5,null
407,4,0.67,0.5739130435,null,10,null,null
405,4,0.74,0.5739130435,9,null,null,null
403,4,0.7616666667,0.5717391304,9,null,null,null
404,4,0.7833333333,0.5347826087,9,null,null,null
402,4,0.7833333333,0.5347826087,9,null,null,null
401,4,0.78,0.5673913043,9,null,null,null
1100,4,0.1083333333,0.5543478261,null,null,0,1
1200,4,0.105,0.4456521739,null,0,null,null
1300,4,0.3666666667,0.5434782609,1,4,null,null
1600,4,0.72,0.5108695652,8,null,null,null
