id,floor,x,y,left,right,up,down
0,2,0.2833333333,0.4456521739,null,null,null,1
1,2,0.2833333333,0.5652173913,null,2,1,null
2,2,0.4333333333,0.5652173913,1,null,3,null
3,2,0.4333333333,0.5108695652,null,4,null,2
4,2,0.5416666667,0.5108695652,3,8,5,null
5,2,0.5416666667,0.4260869565,null,6,null,4
6,2,0.6,0.4260869565,5,7,null,null
7,2,0.6583333333,0.4260869565,6,null,null,8
8,2,0.6583333333,0.5,4,9,7,null
9,2,0.7166666667,0.5,8,null,null,10
10,2,0.7166666667,0.5543478261,null,null,9,null
