room,floor,x,y,left,right,up,down
239,2,0.1333333333,0.5804347826,null,1,null,null
237,2,0.1916666667,0.5804347826,null,1,null,null
235,2,0.21,0.5804347826,null,1,null,null
233,2,0.3166666667,0.5673913043,1,2,null,null
231,2,0.375,0.5673913043,1,2,null,null
229,2,0.395,0.5652173913,1,2,null,null
225,2,0.4366666667,0.5695652174,1,null,2,null
251,2,0.1916666667,0.4434782609,null,0,null,null
250,2,0.2083333333,0.4434782609,null,0,null,null
270,2,0.5333333333,0.4239130435,null,5,null,4
273,2,0.5566666667,0.15,null,null,null,6
262,2,0.6666666667,0.4130434783,7,null,null,8
260,2,0.7216666667,0.4130434783,7,null,null,9
211,2,0.705,0.5652173913,null,null,10,null
209,2,0.73,0.5652173913,10,null,null,null
206,2,0.7916666667,0.5434782609,10,null,null,null
207,2,0.7916666667,0.5434782609,10,null,null,null
205,2,0.7916666667,0.5434782609,10,null,null,null
1100,2,0.1166666667,0.5847826087,null,1,null,null
1200,2,0.1166666667,0.4456521739,null,0,null,null
1300,2,0.375,0.5608695652,1,2,null,null
1400,2,0.5716666667,0.5086956522,4,8,null,null
1500,2,0.625,0.3695652174,null,null,null,6
1600,2,0.7583333333,0.5,9,null,null,null
