room,floor,x,y,left,right,up,down
640,6,0.145,0.5739130435,null,0,null,null
639,6,0.145,0.5739130435,null,0,null,null
635,6,0.2016666667,0.6065217391,null,null,0,null
629,6,0.2016666667,0.6065217391,null,null,0,null
638,6,0.2066666667,0.5652173913,null,null,null,0
627,6,0.27,0.602173913,null,null,1,null
636,6,0.2683333333,0.5652173913,null,null,null,1
616,6,0.375,0.5760869565,1,2,null,null
615,6,0.5816666667,0.5326086957,3,4,null,null
680,6,0.6566666667,0.3782608696,null,null,null,4
660,6,0.6816666667,0.3913043478,null,null,null,4
601,6,0.7883333333,0.5652173913,6,null,null,null
1100,6,0.12,0.5739130435,null,0,null,null
1300,6,0.3783333333,0.5630434783,1,2,null,null
1500,6,0.6683333333,0.3760869565,null,null,null,4
1600,6,0.7683333333,0.5326086957,5,null,null,null
